Time Sent,Campaign Name,Total Sent,Open Rate,Industry Standard Open Rate,Total Unique Opens,Mobile Open Rate,Desktop Open Rate,Click Through Rate,Industry Standard Click Through Rate,Total Unique Clicks,Bounce Rate,Total Bounces,Unsubscribe Rate,Total Unsubscribes,Customer List,Discount
"Fri, May 2, 2014 9:28 PM",Discount1May2014,3656,31.10%,39.41%,918,0.00%,100.00%,8.10%,9.78%,74,19.30%,705,0.10%,3,Master,0.2
"Fri, Jul 14, 2017 11:54 AM",Discount2July2017,4059,20.80%,39.41%,747,46.50%,53.50%,7.90%,9.78%,59,11.70%,474,0.10%,1,Master,0.2
"Thu, Sep 7, 2017 9:24 AM",Discount1September2017,138,83.20%,39.41%,114,57.80%,42.20%,7.90%,9.78%,9,0.70%,1,0.00%,0,Customer Rewards Program Member,0.2
"Sat, May 13, 2017 3:07 PM",Discount2May2017,3796,22.50%,39.41%,755,61.60%,38.40%,7.70%,9.78%,58,11.70%,445,0.10%,5,Master,0.2
"Sat, Jan 21, 2017 4:10 AM",Promotion2January2017,3921,22.10%,39.41%,771,64.30%,35.70%,7.10%,9.78%,55,10.90%,429,0.10%,1,Master,
"Thu, May 15, 2014 9:04 AM",Discount5May2014,3644,25.80%,39.41%,756,0.00%,100.00%,7.70%,9.78%,58,19.60%,713,0.10%,2,Master,0.2
"Fri, Aug 15, 2014 2:29 PM",Discount3August2014,237,77.40%,39.41%,171,0.00%,100.00%,7.60%,9.78%,13,6.80%,16,0.00%,0,Customer Rewards Program Member,0.2
"Sat, Jan 9, 2016 12:16 PM",PromotionJanuary2016,3881,25.70%,39.41%,922,65.50%,34.50%,4.30%,9.78%,40,7.70%,300,0.20%,7,Master,
"Sat, Jul 30, 2016 8:29 AM",Promotion2July2016,176,70.10%,39.41%,122,67.40%,32.60%,1.60%,9.78%,2,1.10%,2,0.00%,0,Target Demographic,
"Sat, Jun 10, 2017 11:18 PM",AwarenessJune2017,139,70.30%,39.41%,97,62.50%,37.50%,24.70%,9.78%,24,0.70%,1,0.00%,0,Customer Rewards Program Member,
"Thu, Jan 1, 2015 9:41 AM",DiscountJanuary2015,4390,29.40%,39.41%,1033,12.00%,88.00%,7.50%,9.78%,77,20.00%,877,0.30%,12,Master,0.5
"Sat, Jun 4, 2016 4:14 PM",AwarenessJune2016,12,100.00%,39.41%,11,79.70%,20.30%,54.50%,9.78%,6,8.30%,1,0.00%,0,Customer Rewards Program Member,
